"Income and Expense - Cert #: 8283"
"Dollar Figures in Thousands (USD) or Percent of Average Assets Annualized"
"Secured by Nonfarm Nonresidential Properties","","CRRENRES","$0"
"Real Estate Loans in Foreign Offices","","CRREFOR","N/A"
"Loans to Depository Institutions","","CRDEP","N/A"
"To Foreign Banks","","CRDEPNUS","N/A"
"Loans to Finance Agricultural Production and Other Loans to Farmers","","CRAG","N/A"
"Commercial and Industrial Loans","","CRCI","$26"
"To Non-U.S. Addressees","","CRCINUS","N/A"
"Loans to Individuals","","CRCON","$16"
"Credit Cards","","CRCRCD","$16"
"Automobile Loans","","CRAUTO","$0"
"Other Consumer Loans","","CRCONOTH","$0"
"Loans to Foreign Governments and Official Institutions","","CRFORGV","N/A"
"Other Loans","","CROTHER","$0"
"Lease Financing Receivables","","CRLS","$0"
"Loans to Finance Agricultural Prod and Other Loans to Farmers (Included Above)","","CRAGSM","$0"
"17. Cash Dividends","","EQCDIV","$0"
"Cash Dividends Declared on Preferred Stock","","EQCDIVP","$0"
"Cash Dividends Declared on Common Stock","","EQCDIVC","$0"
"18. Net Additions to Capital Stock","","EQCSTKRX","$0"
"19. Net Operating Income","","NOIJ","$5,016"
"20. % of Unprofitable Institutions","","N/A","N/A"
"21. % of Institutions with Earnings Gains","","N/A","N/A"
""
""
""
