FDIC Certificate # 8283			FRB District/ID_RSSD 10 / 893855			LEAD BANK			KANSAS CITY, MO			Summary Ratios
OCC Charter # 0			County: JACKSON			Summary Ratios--Page 1						7/23/2025 12:03:05 PM
Public Report
		3/31/2025			3/31/2024			12/31/2024			12/31/2023			12/31/2022		
 Earnings and Profitability	BANK	PG 4	PCT	BANK	PG 4	PCT	BANK	PG 4	PCT	BANK	PG 5	PCT	BANK	PG 5	PCT
 Percent of Average Assets:	
    Interest Income (TE)	8.57	5.24	98	11.23	5.12	99	10.36	5.27	98	11.20	4.72	99	13.63	3.68	99	
    - Interest Expense	0.63	1.97	1	0.56	2.07	1	0.80	2.13	2	0.22	1.39	0	0.03	0.38	0	
       Net Interest Income (TE)	7.94	3.28	98	10.67	3.07	99	9.56	3.15	99	10.98	3.33	99	13.60	3.30	99	
    + Noninterest Income	4.65	0.61	98	4.26	0.61	98	4.81	0.63	98	4.44	0.55	98	5.46	0.56	98	
    - Noninterest Expense	10.57	2.46	99	12.85	2.42	99	11.73	2.43	99	12.80	2.47	99	17.23	2.40	99	
       Pre-Provision Net Revenue (TE)	2.02	1.45	81	2.08	1.30	85	2.64	1.39	93	2.62	1.44	92	1.83	1.49	76	
    - Provision: Credit Losses	0.42	0.10	93	0.14	0.08	77	0.22	0.11	83	0.21	0.07	88	0.92	0.07	99	
    - Provision: Credit Loss Oth Assets	0.00	0.00	22	-0.02	0.00	18	0.01	0.00	82	0.02	0.00	87	N/A	0.00	N/A	
       Pretax Operating Income (TE)	1.60	1.34	69	1.95	1.19	86	2.41	1.25	93	2.39	1.35	91	0.91	1.42	13	
    + Realized Gains/Losses Sec	0.00	0.00	92	-0.04	0.00	6	-0.01	0.00	15	-0.03	-0.01	16	0.00	-0.01	86	
    + Unrealized Gains / Losses Equity Sec	0.01	0.00	93	-0.01	0.00	3	0.00	0.00	4	0.00	0.00	86	-0.03	0.00	1	
    Pretax Net Operating Income (TE)	1.61	1.34	70	1.91	1.19	83	2.40	1.25	93	2.36	1.33	91	0.88	1.41	13	
       Net Operating Income	1.19	1.09	61	1.41	0.97	79	1.85	1.02	90	1.76	1.12	85	0.66	1.18	9	
    Net Inc Attrib to Min Ints	0.00	0.00	98	0.00	0.00	98	0.00	0.00	97	0.00	0.00	98	0.00	0.00	99	
    Net Income Adjusted Sub S	1.19	1.04	65	1.41	0.93	81	1.85	0.97	93	1.76	1.04	89	0.66	1.09	10	
       Net Income	1.19	1.09	61	1.41	0.97	79	1.85	1.02	90	1.76	1.11	85	0.66	1.18	9	

 Margin Analysis:	
 Avg Earning Assets to Avg Assets	88.82	95.49	1	93.39	95.47	16	93.96	95.54	22	90.68	96.22	2	90.06	95.73	2	
 Avg Int-Bearing Funds to Avg Assets	43.95	72.53	1	58.67	72.50	9	54.49	72.64	4	54.70	69.44	6	60.94	67.86	24	
 Int Inc (TE) to Avg Earn Assets	9.64	5.49	98	12.03	5.38	99	11.03	5.53	98	12.35	4.91	99	15.13	3.86	99	
 Int Expense to Avg Earn Assets	0.71	2.07	1	0.60	2.17	1	0.86	2.23	2	0.24	1.44	1	0.04	0.39	0	
 Net Int Inc-TE to Avg Earn Assets	8.94	3.44	99	11.43	3.23	99	10.18	3.31	99	12.11	3.47	99	15.10	3.45	99	

 Loan & Lease Analysis:	
 Net Loss to Average Total LN&LS	0.31	0.07	89	0.02	0.06	55	0.20	0.09	83	0.32	0.04	93	0.01	0.02	54	
 Earnings Coverage of Net Losses (X)	12.49	146.31	27	166.88	108.66	78	20.74	91.38	40	11.28	131.02	19	400.67	226.96	80	
 ACL on LN&LS HFI to LN&LS HFI	0.89	1.21	13	0.73	1.22	6	0.80	1.20	9	0.66	1.28	4	0.50	1.31	1	
 ACL on LN&LS HFI to Net Losses (X)	2.38	87.86	11	36.37	76.43	53	3.61	59.02	14	2.02	80.61	3	85.51	122.38	66	
 ACL on LN&LS HFI to Nonaccrual LN&LS (X)	1.44	6.66	28	0.81	8.91	5	1.32	7.34	22	0.74	12.13	5	1.02	13.54	9	
 30-89 Days Past Due	3.31	0.48	99	4.20	0.39	99	4.67	0.39	99	6.12	0.38	99	7.45	0.31	99	
 Total LN&LS-90+ Days PD & Nonaccrual	1.83	0.60	91	2.61	0.46	98	1.98	0.57	93	2.26	0.38	95	1.59	0.34	92	
 Non-Curr Lns+OREO to Lns+OREO	1.83	0.66	90	2.72	0.51	98	1.98	0.63	92	2.38	0.42	95	1.95	0.39	94	

 Liquidity	
 Net Non Core Fund Dep New $250M	-27.93	8.96	1	4.73	10.91	29	-21.49	10.02	3	18.28	7.24	80	24.01	2.61	94	
 Net Loans & Leases to Assets	45.77	70.60	3	64.92	69.83	31	47.83	70.94	4	73.46	66.18	65	75.06	64.01	72	
 Net Loans & Leases to Deposits	52.07	82.61	3	77.77	82.95	35	54.71	83.32	3	89.90	78.03	72	90.95	73.79	78	

 Capitalization	
 Leverage Ratio	7.7114	10.40	1	9.9272	10.25	47	8.4411	10.31	7	10.0115	10.50	46	10.1909	10.20	55	
 Total Capital Ratio	27.5210	14.56	98	28.1489	14.47	98	25.3911	14.46	96	25.6081	15.55	94	21.9188	15.49	90	
 Cash Dividends to Net Income	0.00	30.28	37	0.00	27.68	40	0.00	36.24	18	0.00	38.88	15	0.00	33.97	16	
 Non-Curr Lns+OREO to T1 Capital+ACL	11.06	4.06	90	18.22	3.17	98	11.91	3.96	91	16.62	2.44	97	14.57	2.19	97	

 Growth Rates	
 Total Assets	67.02	5.42	99	7.55	5.58	65	69.66	5.05	99	14.43	4.89	88	10.69	3.95	79	
 Tier 1 Capital	29.65	7.17	96	18.51	7.68	90	28.35	7.02	97	18.35	6.80	93	38.30	9.39	95	
 Net Loans & Leases	17.76	6.19	91	6.89	8.79	40	10.47	6.43	75	12.00	8.88	69	3.62	13.02	15	
 Short Term Investments	149.99	25.04	91	15.09	42.18	47	489.59	33.19	97	46.34	44.54	61	-21.24	-38.88	70	
 Short Term Non Core Funding	66.39	7.26	90	-43.48	55.51	4	159.31	11.91	97	-53.97	105.75	1	-12.91	69.06	23	


 Average Total Assets		1,688,049			1,025,836			1,186,136			930,316			799,662				
 Net Income		5,042			3,617			21,973			16,371			2,196				


 Number of banks in Peer Group		515			519			521			512			502				



FDIC Certificate # 8283			FRB District/ID_RSSD 10 / 893855			LEAD BANK			KANSAS CITY, MO			Income Statement $
OCC Charter # 0			County: JACKSON			Income Statement $--Page 2						7/23/2025 12:03:06 PM
Public Report
																	Percent Change
		3/31/2025			3/31/2024			12/31/2024			12/31/2023			12/31/2022			1 Year
 Cash Dividends Declared		0			0			0			0			0			N/A	
 Retained Earnings		5,042			3,617			8,845			4,546			959			39.40	
 Memo: Net International Income		N/A			N/A			N/A			N/A			N/A			N/A	
 Memo: Interest on Time Dep Over Ins Limit		1			16			1			15			7			-93.75	



FDIC Certificate # 8283			FRB District/ID_RSSD 10 / 893855			LEAD BANK			KANSAS CITY, MO			Noninterest Income and Expenses
OCC Charter # 0			County: JACKSON			Noninterest Income and Expenses--Page 3						7/23/2025 12:03:07 PM
Public Report
		3/31/2025			3/31/2024			12/31/2024			12/31/2023			12/31/2022		
 PERCENT OF AVERAGE ASSETS:	BANK	PG 4	PCT	BANK	PG 4	PCT	BANK	PG 4	PCT	BANK	PG 5	PCT	BANK	PG 5	PCT
    Personnel Expense	1.97	1.41	91	2.13	1.40	94	1.96	1.39	91	1.95	1.42	90	2.80	1.40	97	
    Occupancy Expense	0.11	0.25	6	0.13	0.25	9	0.14	0.25	10	0.14	0.26	12	0.17	0.26	21	
    Other Oper Exp (Incl Intangibles)	8.48	0.78	99	10.59	0.75	99	9.63	0.78	99	10.71	0.77	99	14.26	0.73	99	
       Total Overhead Expense	10.57	2.46	99	12.85	2.42	99	11.73	2.43	99	12.80	2.47	99	17.23	2.40	99	


 NON-INTEREST EXPENSES:																		
    Personnel Expense		8,328			5,459			23,228			18,105			9,382				
    Occupancy Expense		483			336			1,613			1,333			582				
    Goodwill Impairment		0			0			0			0			0				
    Other Intangible Amortiz		1,527			635			3,744			1,293			257				
    Other Oper Exp (incl Intangibles)		34,251			26,531			110,530			98,348			47,529				
       Non-Interest Expense		44,589			32,961			139,115			119,079			57,750				


 PERCENT OF AVERAGE ASSETS:	BANK	PG 4	PCT	BANK	PG 4	PCT	BANK	PG 4	PCT	BANK	PG 5	PCT	BANK	PG 5	PCT
    Fiduciary Activities	0.00	0.04	66	0.00	0.03	65	0.00	0.04	65	0.00	0.01	77	0.00	0.01	76	
    Deposit Service Charges	0.70	0.11	99	0.98	0.11	99	0.55	0.11	98	0.97	0.11	99	1.00	0.11	99	
    Trading, Vent Cap, Securtz Inc	N/A	0.00	N/A	N/A	0.00	N/A	N/A	0.00	N/A	N/A	0.00	N/A	N/A	0.00	N/A	
    Inv Banking, Advisory Inc	0.00	0.02	54	0.00	0.02	55	0.00	0.02	53	0.00	0.01	70	0.00	0.01	69	
    Insurance Comm & Fees	0.00	0.01	63	0.00	0.00	64	0.00	0.00	56	0.00	0.00	59	0.00	0.00	58	
    Net Servicing Fees	0.00	0.01	48	0.00	0.02	47	0.00	0.02	46	0.00	0.01	59	0.00	0.02	59	
    Loan & Lease Net Gains/Loss	0.77	0.04	98	0.62	0.04	97	0.81	0.05	97	0.18	0.02	93	0.00	0.04	47	
    Other Net Gains/Loss	0.00	0.00	13	0.00	0.00	71	0.25	0.00	97	0.13	0.00	98	0.01	0.00	77	
    Other Non-interest Income	3.18	0.26	99	2.66	0.27	98	3.19	0.27	99	3.15	0.26	99	4.46	0.25	99	
       Non Interest Income	4.65	0.61	98	4.26	0.61	98	4.81	0.63	98	4.44	0.55	98	5.46	0.56	98	


 NON-INTEREST INCOME:																		
    Fiduciary Activities		0			0			0			0			0				
    Deposit Service Charges		2,959			2,512			6,576			9,025			3,342				
    Trading, Vent Cap, Securtz Inc		N/A			N/A			N/A			N/A			N/A				
    Inv Banking, Advisory Inc		0			0			0			0			0				
    Insurance Comm & Fees		0			0			0			0			0				
    Net Servicing Fees		0			0			0			0			0				
    Loan & Lease Net Gains/Loss		3,230			1,593			9,555			1,687			2				
    Other Net Gains/Loss		-4			0			2,988			1,219			23				
    Other Non-Interest Income		13,424			6,815			37,889			29,346			14,944				
       Non Interest Income		19,609			10,920			57,008			41,277			18,311				


 OTHER INCOME & EXPENSE RATIOS:	BANK	PG 4	PCT	BANK	PG 4	PCT	BANK	PG 4	PCT	BANK	PG 5	PCT	BANK	PG 5	PCT
    Overhead Less Non-int Inc	5.92	1.83	99	8.59	1.77	99	6.92	1.76	99	8.36	1.89	99	11.77	1.81	99	
    Efficiency Ratio	83.95	63.17	93	86.08	66.06	93	81.64	64.37	89	83.02	63.81	91	90.40	61.64	97	
    Avg Persnl Exp Per Empl ($000)	138.80	116.77	77	129.98	113.43	73	110.09	111.84	53	115.32	96.10	81	173.50	92.09	97	
    Assets Per Employee ($Million)	7.28	8.57	37	6.23	8.42	24	7.52	8.44	42	5.96	7.17	33	6.34	6.90	47	

 																		
    Domestic Banking Offices (#)		2			2			2			2			2				
    Foreign Branches (#)		0			0			0			0			0				
    Assets Per Domestic Office		873,966			523,262			793,324			467,592			408,624				



FDIC Certificate # 8283			FRB District/ID_RSSD 10 / 893855			LEAD BANK			KANSAS CITY, MO			Asset Yields and Funding Costs
OCC Charter # 0			County: JACKSON			Asset Yields and Funding Costs--Page 3A						7/23/2025 12:03:08 PM
Public Report
		3/31/2025			3/31/2024			12/31/2024			12/31/2023			12/31/2022		
 YIELD ON OR COST OF:	BANK	PG 4	PCT	BANK	PG 4	PCT	BANK	PG 4	PCT	BANK	PG 5	PCT	BANK	PG 5	PCT
    Total Loan & Leases (TE)	13.36	6.24	99	14.47	6.14	99	13.99	6.28	99	14.41	5.82	99	16.87	4.97	99	
       Loans in Domestic Offices	13.36	6.23	99	14.47	6.13	99	13.99	6.27	99	14.41	5.81	99	16.87	4.96	99	
          Real Estate	6.64	5.97	81	6.60	5.79	83	6.86	5.95	86	6.26	5.53	83	5.75	4.81	92	
             Secured by 1-4 Fam Resi Prop	7.66	5.96	92	7.48	5.80	91	7.19	5.95	84	6.63	5.64	83	6.76	4.92	94	
             All Other Loans Sec Real Estate	6.47	6.01	72	6.44	5.83	75	6.79	5.98	80	6.21	5.52	80	5.61	4.81	87	
          Commercial & Industrial	9.84	7.22	95	9.51	7.37	92	10.09	7.48	94	9.22	6.79	93	8.96	5.63	96	
          Individual	12.93	7.60	96	14.85	7.35	97	14.02	7.60	97	15.59	7.10	98	13.96	6.32	98	
             Credit Card	22.76	10.09	93	24.77	10.98	91	22.99	10.42	93	23.54	9.44	91	31.73	8.77	95	
          Agricultural	N/A	7.44	N/A	N/A	7.71	N/A	N/A	7.75	N/A	N/A	7.04	N/A	4.49	5.35	16	
       Loans in Foreign Offices	N/A	9.13	N/A	N/A	8.81	N/A	N/A	9.30	N/A	N/A	5.40	N/A	N/A	5.23	N/A	
    Total Investment Securities (TE)	4.63	3.05	92	4.34	2.83	89	4.51	2.91	91	4.43	2.54	96	5.87	2.06	99	
    Total Investment Securities (Book)	4.60	2.94	93	4.27	2.73	90	4.46	2.81	92	4.37	2.41	96	5.78	1.93	99	
       US Treas & Agency (Excl MBS)	4.57	2.51	93	4.01	2.42	84	4.35	2.56	86	3.65	2.24	87	4.46	1.64	99	
       Mortgage Backed Securities	4.80	3.06	90	3.43	2.74	75	4.97	2.89	92	3.20	2.52	78	4.90	1.91	99	
       All Other Securities	3.86	2.99	78	5.83	2.98	94	3.71	2.97	75	7.33	2.56	99	7.52	2.30	99	
    Interest-Bearing Bank Balances	4.41	4.15	78	5.36	5.02	64	4.85	5.05	23	5.01	4.50	61	3.37	1.32	97	
    Federal Funds Sold & Resales	N/A	3.53	N/A	N/A	4.38	N/A	N/A	4.56	N/A	N/A	4.70	N/A	N/A	1.45	N/A	
    Total Interest Bearing Deposits	1.43	2.67	5	0.84	2.77	1	1.43	2.86	4	0.39	1.88	1	0.06	0.51	0	
       Transaction accounts	3.41	1.58	92	1.71	1.71	52	3.74	1.72	90	1.56	0.97	75	0.78	0.31	90	
       Other Savings Deposits	0.88	2.02	11	0.89	2.14	12	1.16	2.19	18	0.46	1.38	15	0.04	0.38	2	
       Time Deposits	0.37	4.02	0	0.27	4.16	0	0.37	4.29	0	0.07	3.01	0	0.05	0.88	0	
       Foreign Office Deposits	N/A	2.39	N/A	N/A	2.09	N/A	N/A	2.38	N/A	N/A	0.22	N/A	N/A	0.18	N/A	

    Federal Funds Purchased & Repos	N/A	2.41	N/A	N/A	2.76	N/A	N/A	2.96	N/A	N/A	3.34	N/A	N/A	1.34	N/A	
